8.6863 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
8.6881 	INFO 	Loaded monitor calibration from ['2024_05_21 12:08']
9.0157 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000028403289DF0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000028403289D90>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([1, 1, 1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000028403289BE0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000284045FBA60>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.0160 	EXP 	window1: mouseVisible = True
9.0161 	EXP 	window1: backgroundImage = ''
9.0161 	EXP 	window1: backgroundFit = 'none'
9.0166 	EXP 	window1: mouseVisible = True
9.0171 	EXP 	window1: mouseVisible = True
9.0228 	EXP 	window1: mouseVisible = True
9.0265 	EXP 	window1: mouseVisible = True
9.0367 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0396 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0417 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0438 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0462 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0482 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0504 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0532 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0551 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0567 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0588 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0607 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0625 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0643 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0659 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0677 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0704 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0720 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0738 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0760 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0774 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0779 	DEBUG 	Uploading Texture Font fontname to graphics card
9.0867 	DEBUG 	Upload of Texture Font fontname complete
9.0905 	EXP 	window1: mouseVisible = True
9.0908 	EXP 	window1: mouseVisible = True
9.0931 	EXP 	window1: mouseVisible = True
9.0945 	EXP 	window1: mouseVisible = True
9.1033 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.1072 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.1107 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.1113 	DEBUG 	Uploading Texture Font fontname to graphics card
9.1255 	DEBUG 	Upload of Texture Font fontname complete
9.1309 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.1310 	EXP 	window1: recordFrameIntervals = False
9.3065 	EXP 	window1: recordFrameIntervals = True
9.4226 	WARNING 	t of last frame was 49.45ms (=1/20)
9.5894 	EXP 	Screen (0) actual frame rate measured at 60.11Hz
9.5895 	EXP 	window1: recordFrameIntervals = False
9.5897 	EXP 	window1: mouseVisible = False
9.5907 	EXP 	window1: mouseVisible = True
9.5913 	EXP 	window1: mouseVisible = True
9.5930 	EXP 	window1: mouseVisible = True
9.5943 	EXP 	window1: mouseVisible = True
9.6047 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6073 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6106 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6140 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6167 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6199 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6214 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6231 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6247 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6264 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6268 	DEBUG 	Uploading Texture Font fontname to graphics card
9.6277 	DEBUG 	Upload of Texture Font fontname complete
9.6296 	EXP 	window1: mouseVisible = True
9.6298 	EXP 	window1: mouseVisible = True
9.6305 	EXP 	window1: mouseVisible = True
9.6310 	EXP 	window1: mouseVisible = True
9.7040 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
13.9194 	INFO 	keyboard.Keyboard is using iohub backend.
